# Y-M-D   T H:M:S     ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL
2019-10-31T08:01:56    85781  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304   42.5  62.5  237.6 0
2019-10-31T08:02:18    85782  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      80.6   85.032887  37.636304   42.1  62.7  237.6 0
2019-11-06T08:06:45    86027  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304   34.6  66.3  237.6 0
2019-11-06T08:07:07    86028  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.0   85.032887  37.636304   33.0  66.9  237.6 0
2019-11-06T08:12:15    86029  SEQ        Calibration  Cal         IRAS05274+3345            2018-S1-MU-66                   96.8000     0       5.0   82.698417  33.797833   33.7  71.6  144 0
2019-11-06T08:12:38    86030  SEQ        Science      Map(Ra/C)   IRAS05274+3345            2018-S1-MU-66                   96.8000     0     962.8   82.698417  33.797833   33.3  71.7  144 0
2019-11-06T08:32:55    86031  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304   21.4  69.7  237.6 0
2019-11-06T08:33:16    86032  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.0   85.032887  37.636304   21.2  69.7  237.6 0
2019-11-06T08:36:37    86033  SEQ        Calibration  Cal         IRAS05274+3345            2018-S1-MU-66                   96.8000     0       5.0   82.698417  33.797833   18.7  74.2  144 0
2019-11-06T08:37:01    86034  SEQ        Science      Map(Ra/C)   IRAS05274+3345            2018-S1-MU-66                   96.8000     0     962.8   82.698417  33.797833   18.2  74.3  144 0
2019-11-06T08:57:18    86035  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304    7.6  71.1  237.6 0
2019-11-06T08:57:39    86036  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.0   85.032887  37.636304    7.4  71.2  237.6 0
2019-11-06T09:00:59    86037  SEQ        Calibration  Cal         IRAS05274+3345            2018-S1-MU-66                   96.8000     0       5.0   82.698417  33.797833  359.7  75.2  144 0
2019-11-06T09:01:22    86038  SEQ        Science      Map(Ra/C)   IRAS05274+3345            2018-S1-MU-66                   96.8000     0     962.8   82.698417  33.797833  359.1  75.2  144 0
2019-11-06T09:21:12    86039  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  352.9  71.2  237.6 0
2019-11-06T09:21:33    86040  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.0   85.032887  37.636304  352.7  71.2  237.6 0
2019-11-06T09:26:03    86041  SEQ        Calibration  Cal         IRAS05358+3543            2018-S1-MU-66                   96.8000     0       5.0   84.806167  35.761944  348.3  72.8  144 0
2019-11-06T09:26:27    86042  SEQ        Science      Map(Ra/C)   IRAS05358+3543            2018-S1-MU-66                   96.8000     0     962.8   84.806167  35.761944  347.7  72.8  144 0
2019-11-06T09:46:17    86043  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  338.7  69.7  237.6 0
2019-11-06T09:46:39    86044  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.2   85.032887  37.636304  338.4  69.7  237.6 0
2019-11-06T09:50:36    86045  SEQ        Calibration  Cal         IRAS05358+3543            2018-S1-MU-66                   96.8000     0       5.0   84.806167  35.761944  333.5  70.9  144 0
2019-11-06T09:50:59    86046  SEQ        Science      Map(Ra/C)   IRAS05358+3543            2018-S1-MU-66                   96.8000     0     962.8   84.806167  35.761944  333.0  70.8  144 0
2019-11-06T10:11:09    86047  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  327.4  67.0  237.6 0
2019-11-06T10:11:31    86048  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      80.0   85.032887  37.636304  327.3  67.0  237.6 0
2019-11-06T10:15:19    86049  SEQ        Calibration  Cal         IRAS05358+3543            2018-S1-MU-66                   96.8000     0       5.0   84.806167  35.761944  322.3  67.8  144 0
2019-11-06T10:15:43    86050  SEQ        Science      Map(Ra/C)   IRAS05358+3543            2018-S1-MU-66                   96.8000     0     962.8   84.806167  35.761944  322.0  67.6  144 0
2020-01-10T06:16:52    88503  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  320.2  64.0  237.6 0
2020-01-10T06:17:11    88504  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.1   85.032887  37.636304  320.1  63.9  237.6 0
2020-01-10T06:20:03    88505  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  319.3  63.5  237.6 0
2020-01-10T06:20:20    88506  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.0   85.032887  37.636304  319.2  63.5  237.6 0
2020-01-10T06:23:05    88507  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  318.4  63.0  237.6 0
2020-01-10T06:23:23    88508  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.1   85.032887  37.636304  318.4  63.0  237.6 0
2020-01-10T06:26:00    88509  SEQ        Calibration  Cal         IRAS05274+3345            2018-S1-MU-66                   96.8000     0       5.0   82.698417  33.797833  308.4  63.0  144 0
2020-01-10T06:26:20    88510  SEQ        Science      Map(Ra/C)   IRAS05274+3345            2018-S1-MU-66                   96.8000     0     883.0   82.698417  33.797833  308.3  62.9  144 0
2020-01-10T06:42:40    88511  SEQ        Calibration  Cal         IRAS05274+3345            2018-S1-MU-66                   96.8000     0       5.0   82.698417  33.797833  305.4  59.8  144 0
2020-01-10T06:42:58    88512  SEQ        Science      Map(Ra/C)   IRAS05274+3345            2018-S1-MU-66                   96.8000     0     883.0   82.698417  33.797833  305.3  59.7  144 0
2020-01-14T04:57:44    88656  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  349.0  70.9  237.6 0
2020-01-14T04:58:06    88657  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.5   85.032887  37.636304  348.0  70.8  237.6 0
2020-01-14T05:05:19    88658  SEQ        Calibration  Cal         IRAS05274+3345            2018-S1-MU-66                   96.8000     0       5.0   82.698417  33.797833  333.3  73.1  144 0
2020-01-14T05:05:45    88659  SEQ        Science      Map(Ra/C)   IRAS05274+3345            2018-S1-MU-66                   96.8000     0     883.0   82.698417  33.797833  332.9  73.1  144 0
2020-01-14T05:24:27    88660  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  334.0  68.8  237.6 0
2020-01-14T05:24:48    88661  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.8   85.032887  37.636304  333.8  68.8  237.6 0
2020-01-14T05:28:34    88662  SEQ        Calibration  Cal         IRAS05358+3543            2018-S1-MU-66                   96.8000     0       5.0   84.806167  35.761944  328.9  69.8  144 0
2020-01-14T05:28:59    88663  SEQ        Science      Map(Ra/C)   IRAS05358+3543            2018-S1-MU-66                   96.8000     0     883.0   84.806167  35.761944  328.5  69.7  144 0
2020-01-14T05:48:18    88664  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  324.3  65.9  237.6 0
2020-01-14T05:48:43    88665  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      78.9   85.032887  37.636304  324.2  65.8  237.6 0
2020-01-14T05:53:37    88666  SEQ        Calibration  Cal         IRAS05358+3543            2018-S1-MU-66                   96.8000     0       5.0   84.806167  35.761944  319.0  66.3  144 0
2020-01-14T05:54:02    88667  SEQ        Science      Map(Ra/C)   IRAS05358+3543            2018-S1-MU-66                   96.8000     0     883.0   84.806167  35.761944  318.7  66.2  144 0
2020-01-14T06:14:15    88668  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  316.7  62.0  237.6 0
2020-01-14T06:14:41    88669  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      78.0   85.032887  37.636304  316.6  61.9  237.6 0
2020-01-14T06:19:04    88670  SEQ        Calibration  Cal         IRAS05358+3543            2018-S1-MU-66                   96.8000     0       5.0   84.806167  35.761944  312.1  62.0  144 0
2020-01-14T06:19:30    88671  SEQ        Science      Map(Ra/C)   IRAS05358+3543            2018-S1-MU-66                   96.8000     0     883.0   84.806167  35.761944  311.9  61.9  144 0
2020-01-14T06:39:41    88672  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  311.6  57.6  237.6 0
2020-01-14T06:40:07    88673  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      78.9   85.032887  37.636304  311.5  57.5  237.6 0
2020-01-28T07:36:46    90013  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  303.3  36.1  237.6 0
2020-01-28T07:37:07    90014  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      79.8   85.032887  37.636304  303.3  36.1  237.6 0
2020-01-28T08:00:28    90021  SEQ        Calibration  Cal         RU-Aur                    2018-S1-MU-66                   86.2434   -32       5.0   85.032887  37.636304  303.1  31.4  237.6 0
2020-01-28T08:00:49    90022  SEQ        Pointing     Map(Az/D)   RU-Aur                    2018-S1-MU-66                   86.2434   -32      78.9   85.032887  37.636304  303.1  31.4  237.6 0
2020-01-28T08:06:45    90023  SEQ        Calibration  Cal         IRAS05274+3345            2018-S1-MU-66                   96.8000     0       5.0   82.698417  33.797833  298.9  28.1  144 0
2020-01-28T08:07:06    90024  SEQ        Science      Map(Ra/C)   IRAS05274+3345            2018-S1-MU-66                   96.8000     0      90.6   82.698417  33.797833  298.9  28.0  144 0
2020-02-18T12:09:23    90955  SEQ        Calibration  Cal         IRC+00363                 2018-S1-MU-66                   86.2434    50       5.0  280.355498  -4.342232  111.0  37.0  237.6 0
2020-02-18T12:09:45    90956  SEQ        Pointing     Map(Az/D)   IRC+00363                 2018-S1-MU-66                   86.2434    50      79.2  280.355498  -4.342232  111.5  37.7  237.6 0
2020-02-18T12:18:45    90957  SEQ        Calibration  Cal         IRAS18151-1208            2018-S1-MU-66                   96.7294    33       5.0  274.492500 -12.124833  125.5  40.2  239.998 0
2020-02-18T12:19:09    90958  SEQ        Science      Map(Ra/C)   IRAS18151-1208            2018-S1-MU-66                   96.7294    33    1035.0  274.492500 -12.124833  125.6  40.3  239.998 0
2020-02-19T11:47:09    91042  SEQ        Calibration  Cal         IRC+00363                 2018-S1-MU-66                   86.2434    50       5.0  280.355498  -4.342232  108.4  32.7  237.6 0
2020-02-19T11:47:53    91043  SEQ        Pointing     Map(Az/D)   IRC+00363                 2018-S1-MU-66                   86.2434    50      76.6  280.355498  -4.342232  109.0  33.7  237.6 0
2020-02-19T11:55:19    91044  SEQ        Calibration  Cal         IRAS18151-1208            2018-S1-MU-66                   96.7294    33       5.0  274.492500 -12.124833  121.9  36.3  239.998 0
2020-02-19T11:55:51    91045  SEQ        Science      Map(Ra/C)   IRAS18151-1208            2018-S1-MU-66                   96.7294    33    1235.0  274.492500 -12.124833  122.0  36.4  239.998 0
2020-02-19T12:32:36    91046  SEQ        Calibration  Cal         IRC+00363                 2018-S1-MU-66                   86.2434    50       5.0  280.355498  -4.342232  115.9  43.5  237.6 0
2020-02-19T12:33:08    91047  SEQ        Pointing     Map(Az/D)   IRC+00363                 2018-S1-MU-66                   86.2434    50      76.8  280.355498  -4.342232  116.0  43.6  237.6 0
2020-02-21T12:12:17    91273  SEQ        Calibration  Cal         IRC+00363                 2018-S1-MU-66                   86.2434    50       5.0  280.355498  -4.342232  113.5  40.5  237.6 0
2020-02-21T12:12:53    91274  SEQ        Pointing     Map(Az/D)   IRC+00363                 2018-S1-MU-66                   86.2434    50      78.6  280.355498  -4.342232  113.8  41.0  237.6 0
2020-02-21T12:17:18    91275  SEQ        Calibration  Cal         IRC+00363                 2018-S1-MU-66                   86.2434    50       5.0  280.355498  -4.342232  114.6  41.9  237.6 0
2020-02-21T12:17:52    91276  SEQ        Pointing     Map(Az/D)   IRC+00363                 2018-S1-MU-66                   86.2434    50      78.2  280.355498  -4.342232  114.7  42.0  237.6 0
2020-02-26T11:19:10    91571  SEQ        Calibration  Cal         IRC+00363                 2018-S1-MU-66                   86.2434    50       5.0  280.355498  -4.342232  108.4  32.8  237.6 0
2020-02-26T11:19:52    91572  SEQ        Pointing     Map(Az/D)   IRC+00363                 2018-S1-MU-66                   86.2434    50      77.0  280.355498  -4.342232  108.9  33.5  237.6 0
